ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Source_comment,Coders
GB257-abad1241,abad1241,GB257,0,GB257-0,,s_OaPaul_Gabadi[37],Oa & Paul 2013:37,JLA
GB257-abar1238,abar1238,GB257,0,GB257-0,,g_Lovegren_Mungbam[456-457],Lovegren (2013:456-457),ML
GB257-abee1242,abee1242,GB257,?,,no information on polar interrogatives,g_Gbery_Abbey,Gbery (1987),RHE
GB257-aben1249,aben1249,GB257,?,,Polar interrogation is not discussed in this grammar. ,s_Nitsch_Ayta-Abenlen[1-25],Nitsch 2009:1-25,SR
GB257-abip1241,abip1241,GB257,0,GB257-0,,"g_Najlis_Abipona[70, 84]","Najlis (1966: 70, 84)",RHE
GB257-abkh1244,abkh1244,GB257,0,GB257-0,,g_Hewitt_Abkhaz_2010[61-62];s_Chirikba_Abkhaz[70-71],"Chirikba (2003:70-71), Hewitt (2010:61-62)",BHR
GB257-abua1245,abua1245,GB257,1,GB257-1,,g_Nekitel_Abu[55],Nekitel (1985:55),JG
GB257-abun1252,abun1252,GB257,0,GB257-0,"There is intonation in an interrogative sentence, but it cannot mark a question alone.",g_BerryBerry_Abun[101],Berry (1999:101),JLA
GB257-acha1249,acha1249,GB257,0,GB257-0,,g_Dai_Xiandao[137-138],Dai (2005:137-138),MY
GB257-acha1250,acha1250,GB257,1,GB257-1,"(Autotranslated from HG213:* -> GB257:*, given [1] HG213. Polar questions: intonation only)",g_Wilson_Achagua[121],Wilson & Levinsohn 1992: 121,AS;CB;PE;SR
GB257-ache1245,ache1245,GB257,0,GB257-0,,s_Alamin_Asheron_2012[58-59],Alamin (2012:58-59),SPI
GB257-ache1246,ache1246,GB257,?,,"(Autotranslated from HG213:* -> GB257:*, given [?] HG213. Polar questions: intonation only); MM added source",phon_Rossler_Ache;phond_Susnik_Guayaki;s_Mayntzhusen_Guayaki;s_Vellard_Guayaki,Mayntzhusen 1919-1920: in passim; Rossler 2008: in passim; Susnik 1974: in passim; Vellard 1934-1935: in passim,HunterGatherer;MM
GB257-achi1256,achi1256,GB257,0,GB257-0,alterations in intonation alone do not different a polar question from a clause with unfocused constituents,g_LopezIboy_Achi[161],López & Iboy (1998: 161),RHE
GB257-achi1257,achi1257,GB257,1,GB257-1,,g_Asyik_Acehnese[144-145],Asyik (1987:144-145),MY
GB257-achu1247,achu1247,GB257,0,GB257-0,,s_deAnguloFreeland_Achumawi[89],de Angulo (1930:89),KS
GB257-achu1248,achu1248,GB257,0,GB257-0,,g_Kohlberger_Shiwiar[348],Kohlberger 2020: 348,MP
GB257-acol1236,acol1236,GB257,?,,Not described in the references.,g_Crazzolara_Acooli_1955[96];s_Malandra_Acholi[48],"Crazzolara (1955:96), Malandra (1952:48)",CAO
GB257-adan1251,adan1251,GB257,1,GB257-1,,"g_Haan_Adang[9, 30]","Haan 2001:9, 30",EJ
GB257-adny1235,adny1235,GB257,?,,,st_Schebeck_Atynyamatana[53-73],Schebeck 1974:53-73,HunterGatherer;ML
GB257-adon1237,adon1237,GB257,1,GB257-1,,s_Michels_Western-Lamaholot[66],Michels 2017:66,ML
GB257-adze1240,adze1240,GB257,1,GB257-1,NA,s_Holzknecht_Adzera[95],Holzknecht 1986:95,DP;SR
GB257-aeky1238,aeky1238,GB257,0,GB257-0,,s_Stewart_Aekyom[31],Stewart (no date:31),HH
GB257-afad1236,afad1236,GB257,?,,,s_Solken_Affadeh[7-358],Solken (1967:7-358),FS
GB257-afar1241,afar1241,GB257,0,GB257-0,,g_Bliese_Afar_1977[148-151],Bliese (1977:148-151),JG
GB257-aghe1239,aghe1239,GB257,?,,"Potentially, not enough description. ","g_Hyman_Aghem[130, 163-164]","Hyman (1979:130, 163-164)",JG
GB257-aghu1254,aghu1254,GB257,1,GB257-1,"(Autotranslated from HG213:* -> GB257:*, given [1] HG213. Polar questions: intonation only)",s_Jolly_Tharrnggala[168],Jolly 1989:168,HunterGatherer
GB257-aghu1255,aghu1255,GB257,0,GB257-0,,gtd_vandenHeuvel_Aghu[298],van den Heuvel (2016:298),ER
GB257-aghw1237,aghw1237,GB257,?,,,st_Gippertetal_Caucasian-Albanian,Gippert (2008:II-1-64),NH
GB257-agob1244,agob1244,GB257,?,,"Questions are not formed by changing word order, and therefore I assume that there is an intonation difference, but I don’t regularly hear question intonation.",Lindsey2018,Lindsey 2018,KLL
GB257-agua1253,agua1253,GB257,0,GB257-0,"(Autotranslated from HG213:* -> GB257:*, given [0] HG213. Polar questions: intonation only)",g_Overall_Aguaruna[476-478],Overall 2007:476-478,HunterGatherer
GB257-agus1235,agus1235,GB257,?,,,s_Verstraelen_Manobo[815-816],Verstraelen 1968:815-816,KSA
GB257-agut1237,agut1237,GB257,1,GB257-1,,s_Quakenbushetal_Agutaynen[30-31],Quakenbush et al (2010:30-31),RHA
GB257-aheu1239,aheu1239,GB257,0,GB257-0,,"g_Srisakorn_Thavung[83, 113]","Srisakorn (2008:83, 113)",BHR
GB257-ahin1234,ahin1234,GB257,?,,There is not enough data.,"santiago2014search[2, 5]","Santiago 2014:2, 5",FE
GB257-ahom1240,ahom1240,GB257,?,,"In standard thai it can, but not mentioned here.",g_Duangthip_Ahom[216],Duangthip 2012:216,JLA
GB257-aika1237,aika1237,GB257,?,,Not mentioned,s_Vasconcelos_Aikana[64-65],"Vasconcelos (2004); Vasconcelos 2004: 64-65; Vasconcelos, Ione P. (2004) Aspectos da fonologia e morfologia da língua Aikanã. Maceió: Universidade Federal de Alagoas doctoral dissertation, Voort, Hein van der. (2005) Kwaza in a comparative perspective. International Journal of American Linguistics 71(4)",HH;HJH;JC;MM
GB257-aime1238,aime1238,GB257,1,GB257-1,,g_Aiton_Eibela[57],Aiton (2016:57),JLA
GB257-ainu1240,ainu1240,GB257,1,GB257-1,,s_Shibatani_Ainu[82],Shibatani (1990:82),MM;NH
GB257-ajab1235,ajab1235,GB257,0,GB257-0,,s_Morley_Ajagbe[45],Morley 2010:45,RK
